net_name,status,bbox_area,bbox_aspect,bbox_cx,bbox_cy,bbox_dx,bbox_dy,bbox_perimeter,bbox_xmax,bbox_xmin,bbox_ymax,bbox_ymin,bterm_count,dist_drv_sink_max,dist_drv_sink_mean,dist_drv_sink_sum,driver_inst_area,driver_is_buf,driver_is_clkbuf,driver_is_ff_q,driver_is_inv,fanout,has_bterm,has_multiple_drivers,hpwl,is_bus_bit,is_clock_like,is_enable_like,is_reg2reg_candidate,is_reset_like,iterm_count,net_dbid,num_buf_drivers,num_buf_sinks,num_clkbuf_drivers,num_drivers,num_ff_sinks_d,num_inout,num_inv_drivers,num_inv_sinks,num_port_drivers,num_port_sinks,num_sinks,odb_net,sink_area_buf_sum,sink_area_ff_sum,sink_area_inv_sum,sink_area_max,sink_area_mean,sink_area_std,sink_area_sum,sink_centroid_dist_to_driver,sink_cnt,sink_dist_p50,sink_dist_p90,sink_dist_p95,sink_max_x,sink_max_y,sink_min_x,sink_min_y,sink_quadrant_q1,sink_quadrant_q2,sink_quadrant_q3,sink_quadrant_q4,sink_x_mean,sink_x_std,sink_y_mean,sink_y_std,term_count
"DataIn_o[0]","OK","29.860940000000056","0.48867852110929116","80.62","5.608499999999999","3.8200000000000074","7.816999999999999","23.274000000000015","82.53","78.71","9.517","1.7","1","","","","30.0288","0","0","0","0","1","1","0","11.637000000000008","1","0","0","0","0","1","_8862802045620000_p_Net","0","0","0","1","0","0","0","0","0","1","1","_8862802045620000_p_odb__dbNet","0.0","0.0","0.0","","","","0.0","","0","","","","","","","","0","0","0","0","","","","","2"
"DataIn_o[1]","OK","70.51999499999998","0.3637865402309998","79.9975","13.5715","5.064999999999998","13.923000000000002","37.976","82.53","77.465","20.533","6.61","1","14.980000000000008","14.980000000000008","14.980000000000008","3.7536","1","0","0","0","2","1","0","18.988","1","0","0","0","0","2","_0063802045620000_p_Net","1","1","0","1","0","0","0","0","0","1","2","_0063802045620000_p_odb__dbNet","3.7536","0.0","0.0","3.7536","3.7536","","3.7536","14.980000000000008","1","14.980000000000008","14.980000000000008","14.980000000000008","77.05","6.8","77.05","6.8","0","0","1","0","77.05","","6.8","","3"
"DataIn_o[2]","OK","88.74520199999995","0.457803634241341","79.343","13.5715","6.373999999999995","13.923000000000002","40.593999999999994","82.53","76.156","20.533","6.61","1","16.360000000000003","16.360000000000003","16.360000000000003","3.7536","1","0","0","0","2","1","0","20.296999999999997","1","0","0","0","0","2","_7863802045620000_p_Net","1","1","0","1","0","0","0","0","0","1","2","_7863802045620000_p_odb__dbNet","3.7536","0.0","0.0","3.7536","3.7536","","3.7536","16.360000000000003","1","16.360000000000003","16.360000000000003","16.360000000000003","78.43","6.8","78.43","6.8","0","0","1","0","78.43","","6.8","","3"
"DataIn_o[3]","OK","28.531144999999984","0.8991656309428072","79.9975","17.7735","5.064999999999998","5.632999999999999","21.395999999999994","82.53","77.465","20.59","14.957","1","8.89","8.89","8.89","30.0288","0","0","0","0","2","1","0","10.697999999999997","1","0","0","0","0","2","_f063802045620000_p_Net","0","1","0","1","0","0","0","0","0","1","2","_f063802045620000_p_odb__dbNet","3.7536","0.0","0.0","3.7536","3.7536","","3.7536","8.89","1","8.89","8.89","8.89","77.05","20.4","77.05","20.4","0","1","0","0","77.05","","20.4","","3"
"DataIn_o[4]","OK","14.72902","1.7417469044904568","79.9975","24.576","5.064999999999998","2.9080000000000013","15.945999999999998","82.53","77.465","26.03","23.122","1","6.170000000000002","6.170000000000002","6.170000000000002","30.0288","0","0","0","0","2","1","0","7.972999999999999","1","0","0","0","0","2","_6864802045620000_p_Net","0","1","0","1","0","0","0","0","0","1","2","_6864802045620000_p_odb__dbNet","3.7536","0.0","0.0","3.7536","3.7536","","3.7536","6.170000000000002","1","6.170000000000002","6.170000000000002","6.170000000000002","77.05","25.84","77.05","25.84","0","1","0","0","77.05","","25.84","","3"
"DataIn_o[5]","OK","10.96340000000001","1.3310104524979094","80.62","27.465","3.8200000000000074","2.8699999999999974","13.38000000000001","82.53","78.71","28.9","26.03","1","7.550000000000011","7.550000000000011","7.550000000000011","30.0288","0","0","0","0","2","1","0","6.690000000000005","1","0","0","0","0","2","_e064802045620000_p_Net","0","1","0","1","0","0","0","0","0","1","2","_e064802045620000_p_odb__dbNet","3.7536","0.0","0.0","3.7536","3.7536","","3.7536","7.550000000000011","1","7.550000000000011","7.550000000000011","7.550000000000011","78.43","25.84","78.43","25.84","0","0","1","0","78.43","","25.84","","3"
"DataIn_o[6]","OK","11.700660000000031","1.2471433231318514","80.62","32.8085","3.8200000000000074","3.0630000000000024","13.76600000000002","82.53","78.71","34.34","31.277","1","7.550000000000011","7.550000000000011","7.550000000000011","30.0288","0","0","0","0","2","1","0","6.88300000000001","1","0","0","0","0","2","_5865802045620000_p_Net","0","1","0","1","0","0","0","0","0","1","2","_5865802045620000_p_odb__dbNet","3.7536","0.0","0.0","3.7536","3.7536","","3.7536","7.550000000000011","1","7.550000000000011","7.550000000000011","7.550000000000011","78.43","34.0","78.43","34.0","0","1","0","0","78.43","","34.0","","3"
"DataIn_o[7]","OK","98.46917999999998","2.7628140698889765","74.283","36.795","16.494","5.969999999999999","44.928","82.53","66.036","39.78","33.81","1","11.879999999999995","11.879999999999995","11.879999999999995","3.7536","1","0","0","0","2","1","0","22.464","1","0","0","0","0","2","_d065802045620000_p_Net","1","1","0","1","0","0","0","0","0","1","2","_d065802045620000_p_odb__dbNet","3.7536","0.0","0.0","3.7536","3.7536","","3.7536","11.879999999999995","1","11.879999999999995","11.879999999999995","11.879999999999995","71.99","34.0","71.99","34.0","0","0","1","0","71.99","","34.0","","3"
"DataOut_i[0]","OK","10.575949999999997","1.2839721249881648","80.6875","43.785","3.6850000000000023","2.8699999999999974","13.11","82.53","78.845","45.22","42.35","1","","","","","0","0","0","0","1","1","0","6.555","1","0","0","0","0","1","_4866802045620000_p_Net","0","1","0","1","0","0","0","0","1","0","1","_4866802045620000_p_odb__dbNet","3.7536","0.0","0.0","3.7536","3.7536","","3.7536","","1","","","","78.43","42.16","78.43","42.16","0","0","1","0","78.43","","42.16","","2"
"DataOut_i[1]","OK","21.99945000000001","0.6172529312198911","80.6875","47.675","3.6850000000000023","5.969999999999999","19.310000000000002","82.53","78.845","50.66","44.69","1","","","","","0","0","0","0","1","1","0","9.655000000000001","1","0","0","0","0","1","_c066802045620000_p_Net","0","1","0","1","0","0","0","0","1","0","1","_c066802045620000_p_odb__dbNet","3.7536","0.0","0.0","3.7536","3.7536","","3.7536","","1","","","","78.43","44.88","78.43","44.88","0","0","1","0","78.43","","44.88","","2"
